name,price,size,color,rpm,airflow,noise_level,pwm
Azza Hurricane,,120,Black / White,"10,001,800",56.12,29.8,TRUE
Azza Hurricane 3-Pack,,120,Black,1200,56.12,33.8,TRUE
Azza Hurricane 6-Pack,,120,Black,"8,001,800",56.12,29.8,TRUE
Azza Hurricane II Digital,,120,White,"10,001,800",43.06,29,TRUE
Azza Hurricane III Digital,18.98,120,White,"10,001,800",49.1,26.29,TRUE
Azza Hurricane Lite 3-Pack,,120,Black / White,1500,47,28.7,FALSE
Azza Prisma Digital,,120,Black / White,"8,001,600",52.1,31,TRUE
be quiet! Light Wings 3-Pack,54.9,120,White,2500,52.3,31,TRUE
be quiet! Light Wings 3-Pack,54.9,120,White,1700,41.51,20.6,TRUE
be quiet! Light Wings PWM,24.9,120,Black,1700,41.51,20.6,TRUE
be quiet! Light Wings PWM 3-Pack,54.9,120,Black,1700,41.51,20.6,TRUE
be quiet! Light Wings PWM high-speed,23.93,120,Black,2500,52.3,31,TRUE
be quiet! Light Wings PWM high-speed 3-Pack,54.9,120,Black,2500,52.3,31,TRUE
be quiet! Pure Wings 2,9.9,120,Black,"5,001,500","51.4,87",20.2,TRUE
be quiet! Pure Wings 2,7.9,120,Black,2000,65.51,36.9,TRUE
be quiet! Pure Wings 2,9.9,120,Black,1500,51.4,19.2,FALSE
be quiet! Pure Wings 2,10.9,120,Black,2000,65.51,35.9,FALSE
be quiet! Pure Wings 3,9.9,120,Black,2100,59.6,30.9,TRUE
be quiet! Pure Wings 3,8.9,120,Black,1600,49.9,25.5,TRUE
be quiet! Pure Wings 3,9.9,120,Black,1600,49.9,25.5,FALSE
be quiet! Pure Wings 3 PWM,10.9,120,White,1600,,25.5,TRUE
be quiet! Pure Wings 3 PWM High-Speed,10.9,120,White,2100,59.6,30.9,TRUE
be quiet! Shadow Wings,,120,Black,1500,50.5,18.9,TRUE
be quiet! Shadow Wings 2,14.9,120,Black,1100,38.5,15.9,TRUE
be quiet! Shadow Wings 2,14.9,120,Black,1100,38.5,15.7,FALSE
be quiet! Shadow Wings 2,16.89,120,White / Black,900,38.5,15.9,TRUE
be quiet! Shadow Wings 2,17.98,120,White / Black,1100,"38.5,65",15.7,FALSE
be quiet! Silent Wings 2,,120,Black,1500,50.5,15.7,FALSE
